0	1.0000000000	1	-0.6613390000	-0.6613390000	3.1723757330
1	2.5863825320	0	-1.3226780000	0.0000000000	3.8336969944
1	2.5863825320	1	-0.6613390000	0.6613390000	4.5190502056
1	2.5863825320	0	-1.3226780000	-1.3226780000	5.2034172806
1	2.5863825320	1	-0.6613390000	-0.6613390000	5.8877843556
1	2.5863825320	0	-1.3226780000	0.0000000000	6.5721514306
1	2.5863825320	1	-0.6613390000	0.6613390000	7.2565185056
0	1.0000000000	0	-2.6453560000	0.0000000000	0.0000000000
0	1.0000000000	1	-1.9840170000	0.6613390000	0.6346118250
0	1.0000000000	0	-2.6453560000	1.3226780000	1.2692236500
0	1.0000000000	1	-1.9840170000	1.9840170000	1.9038354750
0	1.0000000000	0	-2.6453560000	0.0000000000	2.5384473000
0	1.0000000000	1	-1.9840170000	0.6613390000	3.1723757330
1	2.5863825320	0	-2.6453560000	1.3226780000	3.8336969944
1	2.5863825320	1	-1.9840170000	1.9840170000	4.5190502056
1	2.5863825320	0	-2.6453560000	0.0000000000	5.2034172806
1	2.5863825320	1	-1.9840170000	0.6613390000	5.8877843556
1	2.5863825320	0	-2.6453560000	1.3226780000	6.5721514306
1	2.5863825320	1	-1.9840170000	1.9840170000	7.2565185056
0	1.0000000000	0	1.3226780000	-1.3226780000	0.0000000000
0	1.0000000000	1	1.9840170000	-0.6613390000	0.6346118250
0	1.0000000000	0	1.3226780000	0.0000000000	1.2692236500
0	1.0000000000	1	1.9840170000	0.6613390000	1.9038354750
0	1.0000000000	0	1.3226780000	-1.3226780000	2.5384473000
0	1.0000000000	1	1.9840170000	-0.6613390000	3.1723757330
1	2.5863825320	0	1.3226780000	0.0000000000	3.8336969944
1	2.5863825320	1	1.9840170000	0.6613390000	4.5190502056
1	2.5863825320	0	1.3226780000	-1.3226780000	5.2034172806
1	2.5863825320	1	1.9840170000	-0.6613390000	5.8877843556
1	2.5863825320	0	1.3226780000	0.0000000000	6.5721514306
1	2.5863825320	1	1.9840170000	0.6613390000	7.2565185056
0	1.0000000000	0	-1.3226780000	1.3226780000	0.0000000000
0	1.0000000000	1	-0.6613390000	1.9840170000	0.6346118250
0	1.0000000000	0	-1.3226780000	2.6453560000	1.2692236500
0	1.0000000000	1	-0.6613390000	3.3066950000	1.9038354750
0	1.0000000000	0	-1.3226780000	1.3226780000	2.5384473000
0	1.0000000000	1	-0.6613390000	1.9840170000	3.1723757330
1	2.5863825320	0	-1.3226780000	2.6453560000	3.8336969944
1	2.5863825320	1	-0.6613390000	3.3066950000	4.5190502056
1	2.5863825320	0	-1.3226780000	1.3226780000	5.2034172806
1	2.5863825320	1	-0.6613390000	1.9840170000	5.8877843556
1	2.5863825320	0	-1.3226780000	2.6453560000	6.5721514306
1	2.5863825320	1	-0.6613390000	3.3066950000	7.2565185056
0	1.0000000000	0	2.6453560000	0.0000000000	0.0000000000
0	1.0000000000	1	3.3066950000	0.6613390000	0.6346118250
0	1.0000000000	0	2.6453560000	1.3226780000	1.2692236500
0	1.0000000000	1	3.3066950000	1.9840170000	1.9038354750
0	1.0000000000	0	2.6453560000	0.0000000000	2.5384473000
0	1.0000000000	1	3.3066950000	0.6613390000	3.1723757330
1	2.5863825320	0	2.6453560000	1.3226780000	3.8336969944
1	2.5863825320	1	3.3066950000	1.9840170000	4.5190502056
1	2.5863825320	0	2.6453560000	0.0000000000	5.2034172806
1	2.5863825320	1	3.3066950000	0.6613390000	5.8877843556
1	2.5863825320	0	2.6453560000	1.3226780000	6.5721514306
1	2.5863825320	1	3.3066950000	1.9840170000	7.2565185056
0	1.0000000000	0	1.3226780000	1.3226780000	0.0000000000
0	1.0000000000	1	1.9840170000	1.9840170000	0.6346118250
0	1.0000000000	0	1.3226780000	2.6453560000	1.2692236500
0	1.0000000000	1	1.9840170000	3.3066950000	1.9038354750
0	1.0000000000	0	1.3226780000	1.3226780000	2.5384473000
0	1.0000000000	1	1.9840170000	1.9840170000	3.1723757330
1	2.5863825320	0	1.3226780000	2.6453560000	3.8336969944
1	2.5863825320	1	1.9840170000	3.3066950000	4.5190502056
1	2.5863825320	0	1.3226780000	1.3226780000	5.2034172806
1	2.5863825320	1	1.9840170000	1.9840170000	5.8877843556
1	2.5863825320	0	1.3226780000	2.6453560000	6.5721514306
1	2.5863825320	1	1.9840170000	3.3066950000	7.2565185056
0	1.0000000000	0	0.0000000000	2.6453560000	0.0000000000
0	1.0000000000	1	0.6613390000	3.3066950000	0.6346118250
0	1.0000000000	0	0.0000000000	3.9680340000	1.2692236500
0	1.0000000000	1	0.6613390000	4.6293730000	1.9038354750
0	1.0000000000	0	0.0000000000	2.6453560000	2.5384473000
0	1.0000000000	1	0.6613390000	3.3066950000	3.1723757330
1	2.5863825320	0	0.0000000000	3.9680340000	3.8336969944
1	2.5863825320	1	0.6613390000	4.6293730000	4.5190502056
1	2.5863825320	0	0.0000000000	2.6453560000	5.2034172806
1	2.5863825320	1	0.6613390000	3.3066950000	5.8877843556
1	2.5863825320	0	0.0000000000	3.9680340000	6.5721514306
1	2.5863825320	1	0.6613390000	4.6293730000	7.2565185056
